cumulative_secs,proton_density,speed,ion_temp,bz,bt,phi_angle,kp_index
28500.0,1.4087719298245613,477.3140350877193,130052.63157894737,-1.5909090909090908,8.081818181818182,332.8636363636364,3.0
28800.0,1.4263157894736842,475.5421052631579,127157.8947368421,-1.5727272727272728,7.745454545454545,337.3909090909091,3.0
29100.0,1.443859649122807,473.77017543859654,124263.15789473683,-1.5545454545454545,7.409090909090909,341.9181818181818,3.0
29400.0,1.4614035087719297,471.9982456140351,121368.42105263157,-1.5363636363636364,7.072727272727273,346.44545454545454,3.0
29700.0,1.4789473684210526,470.2263157894737,118473.68421052632,-1.518181818181818,6.736363636363636,350.97272727272724,3.0
30000.0,1.4957894736842106,468.4852631578948,114694.73684210525,-1.3621818181818182,7.800363636363636,341.35672727272726,3.0
30300.0,1.2200000000000002,472.6,142800.0,-0.9199999999999999,9.780000000000001,321.78,3.0
30600.0,1.24,467.68,139280.0,-0.5599999999999999,9.64,323.96000000000004,3.0
30900.0,1.25,465.71999999999997,118200.0,-0.5599999999999999,9.62,322.66,3.0
31200.0,1.34,464.91999999999996,131400.0,-1.24,9.68,321.84,3.0
31500.0,1.26,461.02,124720.0,-0.4800000000000001,9.68,324.14,3.0
31800.0,0.8800000000000001,463.2,118000.0,2.34,9.74,331.88,3.0
32100.0,0.9,471.23999999999995,144000.0,2.56,9.76,329.65999999999997,3.0
32400.0,0.9400000000000001,471.08000000000004,123200.0,2.7,9.719999999999999,329.56,2.0
32700.0,0.86,469.73999999999995,143600.0,3.12,9.540000000000001,326.32,2.0
33000.0,0.93,478.57,158200.0,2.92,9.559999999999999,324.8,2.0
33300.0,0.8200000000000001,475.0,146800.0,3.8,9.6,331.52,2.0
33600.0,0.82,466.82,150200.0,3.9,9.5,340.64,2.0
33900.0,0.76,465.98,167400.0,4.220000000000001,9.559999999999999,338.44,2.0
34200.0,0.9600000000000002,470.23999999999995,186400.0,4.54,9.540000000000001,340.58000000000004,2.0
34500.0,0.9,467.66,173800.0,4.54,9.52,346.0,2.0
34800.0,0.86,466.53999999999996,165700.0,3.34,9.66,341.14,2.0
35100.0,1.0,471.38,166200.0,6.14,9.540000000000001,77.8,2.0
35400.0,1.08,475.38,221400.0,6.4,9.42,7.1,2.0
35700.0,0.8800000000000001,478.53999999999996,211600.0,7.18,9.540000000000001,15.16,2.0
36000.0,0.78,472.82,162400.0,7.2,9.52,10.459999999999999,2.0
36300.0,0.82,476.82,178600.0,7.32,9.48,13.84,2.0
36600.0,0.76,488.52,163600.0,8.08,9.58,19.82,2.0
36900.0,0.78,490.89,168600.0,7.92,9.540000000000001,20.66,2.0
37200.0,0.8800000000000001,480.6,199400.0,7.26,9.38,16.06,2.0
37500.0,1.1,471.6,174680.0,6.16,9.38,145.08,2.0
37800.0,1.28,473.8,162000.0,6.540000000000001,9.24,153.84,2.0
38100.0,1.1400000000000001,472.18,139600.0,7.140000000000001,9.4,22.0,2.0
38400.0,1.04,471.03999999999996,152000.0,6.640000000000001,9.219999999999999,22.580000000000002,2.0
38700.0,0.8400000000000001,466.34,162200.0,6.540000000000001,9.12,12.58,2.0
39000.0,1.02,465.46000000000004,139600.0,6.08,9.139999999999999,16.880000000000003,2.0
39300.0,1.1,459.6,112940.0,5.72,9.040000000000001,10.84,2.0
39600.0,1.02,462.9,92980.0,6.159999999999999,9.26,13.52,2.0
39900.0,1.04,461.78000000000003,131800.0,5.8,9.0,146.18,2.0
40200.0,1.06,457.86,119180.0,5.76,9.1,16.94,2.0
40500.0,1.08,467.37999999999994,99080.0,6.459999999999999,9.1,84.75999999999999,2.0
40800.0,0.74,486.63,152700.0,8.040000000000001,9.360000000000001,285.32,2.0
