,cumulative_secs,proton_density,speed,ion_temp,bz,bt,phi_angle,kp_index
365,109500,3.5,626.12,108320,7.5,18.88,313.96,4
366,109800,4.02,622.28,99280,6.6,18.66,313.98,2
367,110100,4.06,619.44,99020,5.8,18.6,314.94,2
368,110400,4.46,622.18,101320,5.54,18.5,314.16,3
369,110700,4.2,622.3,96580,5.4,18.52,312.84,5
370,111000,4.26,624.2,95480,5.06,18.44,311.28,5
371,111300,5.26,626.18,80240,3.32,18.3,310.52,3
372,111600,5.58,624.62,80080,3.86,18.2,309.48,7
373,111900,5.68,618.5,86840,5.26,17.94,310.36,8
374,112200,7,614.02,85020,4.38,17.98,312.62,4
375,112500,7.46,612.01,77360,4.36,17.62,312.28,2
376,112800,7.38,612.84,85040,3.64,17.64,308.96,5
377,113100,5.715,617.71,92120,4.351724138,17.82758621,308.4034483,7
378,113400,5.74,617.06,91153.33333,4.231034483,17.64655172,308.412069,7
379,113700,5.765,616.41,90186.66667,4.110344828,17.46551724,308.4206897,8
380,114000,5.79,615.76,89220,3.989655172,17.28448276,308.4293103,2
381,114300,5.815,615.11,88253.33333,3.868965517,17.10344828,308.437931,7
382,114600,5.84,614.46,87286.66667,3.748275862,16.92241379,308.4465517,8
383,114900,5.865,613.81,86320,3.627586207,16.74137931,308.4551724,4
384,115200,5.89,613.16,85353.33333,3.506896552,16.56034483,308.4637931,4
385,115500,5.915,612.51,84386.66667,3.386206897,16.37931034,308.4724138,2
386,115800,5.94,611.86,83420,3.265517241,16.19827586,308.4810345,2
387,116100,5.965,611.21,82453.33333,3.144827586,16.01724138,308.4896552,3
388,116400,5.99,610.56,81486.66667,3.268965517,15.90344828,308.577931,5
389,116700,6.26,606.86,79340,3.36,15.92,309.98,8
390,117000,5.13,616.99,75280,1.5,16.16,300.22,5
391,117300,5.89,619.95,81840,0.98,15.3,299,4
392,117600,4.66,588.48,154100,4.5,14.34,264.74,3
393,117900,3.74,652.2,520800,7.58,14.88,10.18,4
394,118200,2.92,668.92,578600,7.2,14.94,88.46,5
395,118500,2.3,676.48,550400,8,15.6,21.02,4
396,118800,2.02,686.82,474000,8.04,15.68,24.34,4
397,119100,1.9,688.6,425000,8.22,15.36,31.08,4
398,119400,1.76,686.44,353000,8,15.26,20.26,4
399,119700,1.82,703.26,486600,8.18,14.6,28.48,2
400,120000,1.6,713.02,531200,7.32,14.68,25.72,5
401,120300,1.34,697.33,371100,6.4,14.4,23.2,5
402,120600,1.16,693.54,421000,6.16,14.34,22.48,8
403,120900,1.08,695.9,361800,6.48,14.24,15.16,4
404,121200,1.1,715.24,557400,6.48,13.82,80.28,2
405,121500,0.88,714.36,434400,5.26,13.52,281.12,2
406,121800,0.86,817.74,1042400,9.06,13.56,86.8,5
407,122100,1.08,722.84,466600,3.84,13.14,344.06,4
408,122400,1.42,785.96,864000,1.58,13.28,332.56,2
409,122700,0.69,768.43,695400,0.16,9.84,103.78,4
410,123000,1.16,798.08,1028600,3.68,10.62,49.38,4
411,123300,1.91,868.74,1033000,3.38,10.56,62.96,4
412,123600,1.7,827.6,1022600,2.48,11.28,53.3,7
413,123900,1.56,808.54,1156000,3.62,11.48,50.34,7
414,124200,1.72,818.01,1094000,3.44,11.78,61.28,5
415,124500,1.58,810.34,1039000,3.42,11.96,53.36,5
416,124800,1.58,805.22,1020600,2.82,12.14,54.16,8
417,125100,1.5,795.32,1074800,3.2,12.1,53.9,4
418,125400,1.62,783.64,1046800,1.88,11.74,48.14,4
419,125700,1.58,776.98,1080000,1.32,11.16,43.2,4
420,126000,1.46,778.8,1220000,0.62,10.56,47.36,4
421,126300,1.4,774.26,1349000,1.16,11.12,43.16,2
422,126600,1.32,784.8,1290000,2.06,11.2,38.16,4
423,126900,1.44,773.56,1318000,2.02,10.6,43.52,7
424,127200,1.46,767.84,1208000,2.52,11.08,33.2,7
425,127500,1.62,770.24,1154000,1.88,11.36,34.44,5
426,127800,1.6,766.92,1120000,1.8,11.2,41.4,5
427,128100,1.42,777.58,1117000,2,10.88,49.84,8
428,128400,1.5,788.73,1036400,1.54,11.18,59,4
429,128700,1.72,812.86,959000,2.12,11.34,65.66,4
430,129000,1.58,824.28,697200,2.56,11.96,74.08,4
431,129300,1.44,823.88,732000,3.2,11.92,75.8,4
432,129600,1.56,819.28,738600,2.78,11.9,74,8
433,129900,1.58,828.6,730800,2.2,11.66,76.66,5
434,130200,1.49,837.73,684000,2.64,11.7,90.04,8
435,130500,1.6,824.02,732600,1.7,11.28,77.42,2
436,130800,1.62,816.02,769000,1.16,11.24,81.18,1
437,131100,1.46,824.82,684400,0.64,11.42,88.6,1
438,131400,1.66,838.2,707800,0.52,11.32,84.32,5
439,131700,1.4,826.2,737600,0.76,11.36,88.4,7
440,132000,1.74,815.58,742400,1.5,11.22,81.66,5
441,132300,0.72,459.18,309960,2.06,10.82,84.74,8
442,132600,0.9,281.34,78600,-0.54,10.88,102.58,5
443,132900,1.2,281.96,124880,-0.7,10.58,93.84,5
444,133200,1.66,281.16,70880,-1.94,10.54,96.88,4
445,133500,2.04,272.8,60520,-2.14,10.4,102.46,2
446,133800,2.6,270.48,65200,-1.62,10.04,92.88,1
447,134100,3.253333333,278.8133333,93060,-4.14,9.04,110.84,1
448,134400,2.206666667,279.8066667,95760,-5,10.68,187.86,1
449,134700,3.5,282.14,97320,-1.04,11.06,195.3,1
