,Unnamed: 0,cumulative_secs,proton_density,speed,ion_temp,bz,bt,phi_angle,kp_index,midi_spec_band_grain_id,midi_rms_grain_id,midi_mfcc_grain_id,dp_spec_band_grain_id,dp_rms_grain_id,dp_mfcc_grain_id,bz_scaled,speed_scaled
85,85,25500,1.44,481.44,148200.0,-3.08,9.76,308.76,7,1442.0,563.0,1655.0,718.0,912.0,567.0,2174.6526793308763,1.2200367296556847
86,86,25800,1.5,486.24,166400.0,-3.7,9.8,305.66,8,1464.0,1557.0,1903.0,1710.0,791.0,1524.0,2130.7059824213216,1.22485373367989
87,87,26100,1.32,489.22,160400.0,-2.64,9.88,305.94,7,980.0,382.0,1081.0,941.0,1275.0,1343.0,2205.840657782818,1.2278442903449176
88,88,26400,1.2,483.72,159400.0,-1.86,9.76,307.32,7,1189.0,1848.0,344.0,1914.0,229.0,176.0,2261.1284377658067,1.2223248065671821
89,89,26700,1.304210526,486.7147368,151705.2632,-1.577818182,9.919636364,306.0432727,7,292.0,1181.0,873.0,1628.0,1147.0,1796.0,2281.129984264247,1.225330152237398
90,90,27000,1.321052632,486.1736842,144526.3158,-1.681818182,9.763636364,310.2272727,8,1219.0,1526.0,1233.0,1014.0,759.0,140.0,2273.7582802665156,1.224787182955834
91,91,27300,1.338596491,484.4017544,141631.5789,-1.663636364,9.427272727,314.7545455,8,223.0,1584.0,440.0,1010.0,1278.0,1117.0,2275.0470396937912,1.223008976085582
92,92,27600,1.356140351,482.6298246,138736.8421,-1.645454545,9.090909091,319.2818182,7,1323.0,1875.0,1575.0,473.0,1300.0,1893.0,2276.335799191948,1.2212307692153301
93,93,27900,1.373684211,480.8578947,135842.1053,-1.627272727,8.754545455,323.8090909,7,1154.0,1269.0,1616.0,599.0,1831.0,935.0,2277.6245586192235,1.2194525622447239
94,94,28200,1.39122807,479.0859649,132947.3684,-1.609090909,8.418181818,328.3363636,8,1977.0,71.0,644.0,321.0,501.0,1197.0,2278.9133180464987,1.2176743553744718
95,95,28500,1.40877193,477.3140351,130052.6316,-1.590909091,8.081818182,332.8636364,7,1563.0,766.0,1251.0,1142.0,240.0,1765.0,2280.202077473774,1.21589614850422
96,96,28800,1.426315789,475.5421053,127157.8947,-1.572727273,7.745454545,337.3909091,8,114.0,1418.0,785.0,1456.0,596.0,1265.0,2281.490836901049,1.2141179416339678
97,97,29100,1.443859649,473.7701754,124263.1579,-1.554545455,7.409090909,341.9181818,7,272.0,780.0,1586.0,927.0,897.0,1494.0,2282.7795963283243,1.2123397346633618
98,98,29400,1.461403509,471.9982456,121368.4211,-1.536363636,7.072727273,346.4454545,8,1661.0,2.0,307.0,8.0,617.0,1090.0,2284.068355826482,1.2105615277931097
99,99,29700,1.478947368,470.2263158,118473.6842,-1.518181818,6.736363636,350.9727273,7,645.0,5.0,1498.0,1858.0,618.0,106.0,2285.3571152537565,1.2087833209228576
100,100,30000,1.495789474,468.4852632,114694.7368,-1.362181818,7.800363636,341.3567273,8,1369.0,1270.0,23.0,1765.0,1830.0,1821.0,2296.4146712503543,1.2070361006352424
101,101,30300,1.22,472.6,142800.0,-0.92,9.78,321.78,8,377.0,487.0,516.0,441.0,855.0,1678.0,2327.7573008222284,1.211165413911106
102,102,30600,1.24,467.68,139280.0,-0.56,9.64,323.96,8,876.0,1868.0,468.0,1900.0,5.0,108.0,2353.274737737454,1.2062279847862956
103,103,30900,1.25,465.72,118200.0,-0.56,9.62,322.66,8,865.0,1844.0,1756.0,982.0,488.0,1825.0,2353.274737737454,1.2042610414764117
104,104,31200,1.34,464.92,131400.0,-1.24,9.68,321.84,8,1915.0,1262.0,1570.0,108.0,1590.0,83.0,2305.0751346753614,1.2034582074723774
105,105,31500,1.26,461.02,124720.0,-0.48,9.68,324.14,7,1632.0,865.0,1736.0,1207.0,1430.0,1335.0,2358.9452792741713,1.1995443917027107
106,106,31800,0.88,463.2,118000.0,2.34,9.74,331.88,8,1903.0,587.0,1261.0,1171.0,1744.0,473.0,2558.831868443436,1.2017321143637039
107,107,32100,0.9,471.24,144000.0,2.56,9.76,329.66,7,725.0,1415.0,1559.0,626.0,238.0,1332.0,2574.425857669408,1.209800596104248
108,108,32400,0.94,471.08,123200.0,2.7,9.72,329.56,8,151.0,1601.0,1367.0,1440.0,212.0,1350.0,2584.3493053586617,1.209640029303441
109,109,32700,0.86,469.74,143600.0,3.12,9.54,326.32,8,1290.0,1570.0,1819.0,1696.0,1699.0,920.0,2614.1196484264246,1.2082952823466837
110,110,33000,0.93,478.57,158200.0,2.92,9.56,324.8,8,579.0,1176.0,1530.0,1348.0,318.0,1016.0,2599.943294584633,1.2171565626662117
111,111,33300,0.82,475.0,146800.0,3.8,9.6,331.52,7,1479.0,1158.0,671.0,544.0,1139.0,1862.0,2662.319251488517,1.2135739159232088
112,112,33600,0.82,466.82,150200.0,3.9,9.5,340.64,7,1317.0,727.0,1202.0,830.0,600.0,748.0,2669.407428409413,1.2053649382319587
113,113,33900,0.76,465.98,167400.0,4.22,9.56,338.44,8,1359.0,855.0,891.0,25.0,438.0,922.0,2692.08959455628,1.2045219625277228
114,114,34200,0.96,470.24,186400.0,4.54,9.54,340.58,8,1566.0,791.0,1639.0,342.0,851.0,319.0,2714.7717607031473,1.2087970535992052
115,115,34500,0.9,467.66,173800.0,4.54,9.52,346.0,7,671.0,496.0,580.0,1511.0,1029.0,344.0,2714.7717607031473,1.2062079139361948
116,116,34800,0.86,466.54,165700.0,3.34,9.66,341.14,8,1315.0,794.0,705.0,1543.0,656.0,461.0,2629.7136376523954,1.205083946330547
117,117,35100,1.0,471.38,166200.0,6.14,9.54,77.8,5,310.0,1466.0,1215.0,1413.0,423.0,1353.0,2828.1825914374826,1.209941092054954
118,118,35400,1.08,475.38,221400.0,6.4,9.42,7.1,8,1639.0,1564.0,488.0,1899.0,472.0,900.0,2846.611851431812,1.213955262075125
119,119,35700,0.88,478.54,211600.0,7.18,9.54,15.16,8,1646.0,1642.0,680.0,493.0,1079.0,1250.0,2901.8996314148003,1.2171264563910604
120,120,36000,0.78,472.82,162400.0,7.2,9.52,10.46,8,1374.0,1820.0,1748.0,948.0,1188.0,1204.0,2903.3172667989797,1.2113861932622156
121,121,36300,0.82,476.82,178600.0,7.32,9.48,13.84,8,937.0,1667.0,579.0,1101.0,200.0,1049.0,2911.8230791040546,1.2154003632823869
122,122,36600,0.76,488.52,163600.0,8.08,9.58,19.82,7,866.0,1529.0,1738.0,357.0,1564.0,1053.0,2965.6932237028636,1.2271418105913876
123,123,36900,0.78,490.89,168600.0,7.92,9.54,20.66,7,717.0,1192.0,848.0,1353.0,1455.0,1505.0,2954.3521406294303,1.229520206328339
124,124,37200,0.88,480.6,199400.0,7.26,9.38,16.06,7,1979.0,2014.0,985.0,1515.0,595.0,1813.0,2907.5701729515167,1.2191937539514486
125,125,37500,1.1,471.6,174680.0,6.16,9.38,145.08,5,1839.0,502.0,1876.0,1870.0,1498.0,403.0,2829.600226821662,1.2101618714060633
126,126,37800,1.28,473.8,162000.0,6.54,9.24,153.84,7,721.0,1693.0,860.0,1736.0,1181.0,1159.0,2856.535299121066,1.2123696649171576
127,127,38100,1.14,472.18,139600.0,7.14,9.4,22.0,7,1955.0,1266.0,1680.0,1482.0,1664.0,1185.0,2899.064360646442,1.2107439260589883
128,128,38400,1.04,471.04,152000.0,6.64,9.22,22.58,5,1042.0,1932.0,1008.0,140.0,1635.0,1903.0,2863.623476041962,1.2095998876032394
129,129,38700,0.84,466.34,162200.0,6.54,9.12,12.58,8,1714.0,1858.0,912.0,1397.0,650.0,76.0,2856.535299121066,1.2048832378295382
130,130,39000,1.02,465.46,139600.0,6.08,9.14,16.88,7,1275.0,1409.0,1851.0,1555.0,792.0,978.0,2823.9296852849448,1.2040001204251005
131,131,39300,1.1,459.6,112940.0,5.72,9.04,10.84,5,1466.0,1766.0,1076.0,857.0,317.0,1295.0,2798.4122483697192,1.1981193613455499
132,132,39600,1.02,462.9,92980.0,6.16,9.26,13.52,9,1673.0,1542.0,1872.0,360.0,1112.0,1730.0,2829.600226821662,1.2014310516121909
133,133,39900,1.04,461.78,131800.0,5.8,9.0,146.18,8,1559.0,140.0,1122.0,1174.0,1035.0,271.0,2804.0827899064357,1.200307084006543
134,134,40200,1.06,457.86,119180.0,5.76,9.1,16.94,7,595.0,1691.0,176.0,1720.0,1261.0,1916.0,2801.2475191380777,1.1963731973867753
135,135,40500,1.08,467.38,99080.0,6.46,9.1,84.76,5,154.0,1747.0,930.0,1701.0,1472.0,1585.0,2850.8647575843493,1.2059269220347828
136,136,40800,0.74,486.63,152700.0,8.04,9.36,285.32,5,891.0,1746.0,1591.0,642.0,949.0,1906.0,2962.8579529345056,1.2252451152568566
137,137,41100,0.66,485.86,124740.0,8.08,9.4,77.98,8,1888.0,1179.0,573.0,1178.0,1466.0,321.0,2965.6932237028636,1.2244723875279737
138,138,41400,0.8,492.32,124800.0,8.46,9.48,20.44,7,1626.0,919.0,156.0,124.0,1748.0,1851.0,2992.628296002268,1.2309552721105503
139,139,41700,0.74,501.68,145800.0,8.62,9.46,26.0,7,1074.0,698.0,1855.0,690.0,1162.0,857.0,3003.9693790757015,1.2403484299577507
140,140,42000,1.16,518.3,131600.0,8.54,9.4,41.88,5,91.0,1666.0,1199.0,1502.0,611.0,124.0,2998.298837538985,1.2570273063915622
141,141,42300,0.96,497.76,184000.0,7.96,9.46,21.22,5,335.0,135.0,489.0,725.0,1725.0,1313.0,2957.1874113977888,1.236414543337983
142,142,42600,0.92,479.02,111700.0,7.26,9.4,19.76,8,998.0,1386.0,1347.0,61.0,1512.0,419.0,2907.5701729515167,1.217608156793481
